,Cannonball
2631,178
2632,178
2633,178
2634,178
2635,179
2636,179
2637,179
2638,179
2639,179
2640,179
2641,179
2642,179
2643,180
2644,180
2645,179
2646,179
2647,179
2648,179
2649,179
2650,180
2651,180
2652,180
2653,180
2654,180
2655,181
2656,181
2657,181
2658,180
2659,180
2660,180
2661,180
2662,180
2663,179
2664,179
2665,179
2666,179
2667,179
2668,179
2669,179
2670,179
2671,179
2672,179
2673,179
2674,179
2675,179
2676,179
2677,179
2678,179
2679,179
2680,179
2681,179
2682,179
2683,179
2684,179
2685,179
2686,179
2687,179
2688,180
2689,180
2690,180
2691,180
2692,180
2693,180
2694,180
2695,181
2696,181
2697,181
2698,181
2699,181
2700,181
2701,181
2702,181
2703,181
2704,181
2705,181
2706,181
2707,181
2708,181
2709,181
2710,181
2711,181
2712,181
2713,182
2714,182
2715,182
2716,182
2717,182
2718,182
2719,182
2720,182
2721,182
2722,182
2723,182
2724,182
2725,182
2726,182
2727,182
2728,182
2729,182
2730,182
2731,182
2732,182
2733,182
2734,182
2735,182
2736,182
2737,182
2738,182
2739,182
2740,182
2741,182
2742,182
2743,182
2744,182
2745,182
2746,182
2747,182
2748,182
2749,182
2750,182
2751,182
2752,182
2753,183
2754,183
2755,182
2756,182
2757,182
2758,182
2759,182
2760,182
2761,182
2762,182
2763,182
2764,182
2765,182
2766,182
2767,182
2768,181
2769,181
2770,181
2771,181
2772,181
2773,181
2774,181
2775,180
2776,180
2777,180
2778,180
2779,180
2780,180
2781,180
2782,180
2783,180
2784,180
2785,180
2786,180
2787,180
2788,179
2789,179
2790,179
2791,179
2792,179
2793,179
2794,179
2795,179
2796,179
2797,179
2798,179
2799,179
2800,179
2801,179
2802,179
2803,180
2804,180
2805,180
2806,180
2807,180
2808,181
2809,181
2810,182
2811,182
2812,182
2813,182
2814,182
2815,181
2816,181
2817,181
2818,181
2819,181
2820,182
2821,182
2822,182
2823,181
2824,181
2825,181
2826,181
2827,181
2828,181
2829,181
2830,181
2831,181
2832,181
2833,181
2834,181
2835,180
2836,180
2837,180
